公司,产品,生命周期,战略角色,半年报证据
世纪华通,Whiteout Survival／无尽冬日,长线爆款,出海与国内双版本维持高位,Whiteout上线三年后6月再创新高；无尽冬日稳居国内畅销榜前列
世纪华通,Kingshot／奔奔王国,增长产品,第二增长支柱,Kingshot长期位居出海榜前三；奔奔王国排名稳步提升
世纪华通,Tasty Travels: Merge Game,增长产品,休闲品类第二曲线,半年报称其跻身中国手游出海前五
巨人网络,超自然行动组,当期爆款,本期收入利润核心驱动,春节单日、单月流水创历史新高，二季度运营保持稳定
巨人网络,征途系列／球球大作战,长线产品,成熟基本盘,精细化运营保持稳定收入；王者征途上半年新增用户1417万
恺英网络,龙之谷世界,重点在营,经典IP重做,2025年2月公测首日登App Store游戏榜第一
恺英网络,仙剑奇侠传：新的开始／怪物联萌,在营产品,小游戏与IP运营,前者拓展海外，后者曾进入微信小游戏畅销榜前十
三七互娱,寻道大千,长线产品,成熟期自然回落,半年报将其流水自然回落列为营收下降原因之一
三七互娱,英雄没有闪／时光大爆炸,成长转长线,投放策略转向效率,进入长线或成熟期后减少流量投放
三七互娱,生存33天／Last Asylum: Plague,新上线,补充新品矩阵,2025年四季度及2026年上线，贡献仍需继续观察
吉比特,杖剑传说,全球化增长,境内外共同拉动,大陆版收入9.19亿元；港澳台、日本版3.33亿元；欧美版2.07亿元
吉比特,道友来挖宝,增长产品,完整运营周期放量,半年收入5.89亿元，同比增长1207.58%
吉比特,问道手游,长线产品,现金牛基本盘,半年收入10.23亿元，同比下降4.48%
完美世界,异环,新上线,全球多端新品,2026年4月公测；截至6月底全球累计流水超14亿元
完美世界,梦幻新诛仙：轻享,储备／待上线,诛仙IP延展,半年报披露定档2026年9月3日公测
完美世界,诛仙／梦幻新诛仙／诛仙世界,长线产品,经典IP矩阵,多端、代际产品矩阵支撑长期运营
神州泰岳,Age of Origins,长线产品,海外SLG核心,2026H1收入12.15亿元，占游戏收入72.83%
神州泰岳,War and Order,长线产品,第二核心产品,2026H1收入3.99亿元，占游戏收入23.94%
神州泰岳,新游戏项目,测试／调优,尚未规模化,主要产品竞争加剧，新游戏未形成规模营收
游族网络,少年系列／Infinity Kingdom,长线产品,基本盘精细化运营,半年报称在营产品流水总体保持稳健
游族网络,大皇帝H5／Zomline Survival,新上线,小游戏与海外SLG扩充,Zomline Survival于2026年6月上线
冰川网络,超能世界／Hero Clash,长线产品,国内外双版本,期末注册账户分别超过8200万、4060万
冰川网络,X-Clash,测试产品,全球测试拓展,2025年4月起全球测试，多个市场免费榜登顶
冰川网络,代号SC等5个项目,储备,卡牌与休闲品类,1个测试中、4个已立项，尚未确定最终名称
