代码,公司,层级,产品或IP名称,提及次数,首次出现PDF页,首次上下文,说明
002558,巨人网络,核心,超自然行动组,15,9,元，同比增长182.08%；归属于上市公司股东的净利润 21.44 亿元，同比增长175.96%；扣除非经常性损益后的归属于上市公司股东的净利润22.36 亿元，同比增长177.23%；经 营活动产生的现金流20.72 亿元，较上年同期增长178.93%。主要系公司现象级手游《超自然行动组》持续贡献较高水平收 入，为上半年业绩增长提供重要支撑，“征途”系列、《球球大作战》等成熟产品依托精细化长线运营保持稳定收入。同时， 公司有序推进人工智能技术研发与应用落地，提升研发生产效率。公司具体经营情况如下： 1. 征途全系产品深耕长线运营，品牌生命力持续焕发 报告期内，赛道聚焦《原始征途》《王者征途》等核心产品，战略重心从“以,程序初筛，重点公司产品另行人工复核
002558,巨人网络,核心,球球大作战,6,9,75.96%；扣除非经常性损益后的归属于上市公司股东的净利润22.36 亿元，同比增长177.23%；经 营活动产生的现金流20.72 亿元，较上年同期增长178.93%。主要系公司现象级手游《超自然行动组》持续贡献较高水平收 入，为上半年业绩增长提供重要支撑，“征途”系列、《球球大作战》等成熟产品依托精细化长线运营保持稳定收入。同时， 公司有序推进人工智能技术研发与应用落地，提升研发生产效率。公司具体经营情况如下： 1. 征途全系产品深耕长线运营，品牌生命力持续焕发 报告期内，赛道聚焦《原始征途》《王者征途》等核心产品，战略重心从“以收入增长为核心”转向“收入与留存并 重”，通过两周一小更、一月一大更的内容供给框架,程序初筛，重点公司产品另行人工复核
002558,巨人网络,核心,原始征途,2,9,半年业绩增长提供重要支撑，“征途”系列、《球球大作战》等成熟产品依托精细化长线运营保持稳定收入。同时， 公司有序推进人工智能技术研发与应用落地，提升研发生产效率。公司具体经营情况如下： 1. 征途全系产品深耕长线运营，品牌生命力持续焕发 报告期内，赛道聚焦《原始征途》《王者征途》等核心产品，战略重心从“以收入增长为核心”转向“收入与留存并 重”，通过两周一小更、一月一大更的内容供给框架实现用户留存提升。旗舰产品《原始征途》进入公测第三年，已顺利过 渡至平稳运营期，团队加快长青内容更新节奏，上半年新增用户同比增长3.67%，日均DAU 与上年同期基本持平，核心用 户基本盘扎实。《王者征途》依托微信、抖音、快手等多平台,程序初筛，重点公司产品另行人工复核
002558,巨人网络,核心,名将杀,2,11,10 ===== 第 11 页 ===== 巨人网络集团股份有限公司2026 年半年度报告全文 3. 《球球大作战》《月圆之夜》深化内容生态，《名将杀》精细化打磨初见成效 公司成熟产品《球球大作战》进入以经营提质和核心用户深耕为重点的运营阶段，有序推进产品体验更新与内容运营 协同。该产品的活跃玩家留存率及付费渗透率较第一季度均实现改善，运营效率持续向好，展现出成熟IP 良好的运营韧性。 策略卡牌游戏《月圆之夜》继续优化内容创新与IP 生态建设。报告期内，产品上线了新单机模式《秘宝对决》以及新,程序初筛，重点公司产品另行人工复核
002558,巨人网络,核心,征途,2,5,局将电 子竞技列为第99 个正式体育竞赛项目 公司自主研发的以“征途”命名的多款网络游戏，包括 “征途”系列 指 《征途》、《绿色征途》、《征途怀旧版》及《征途2》 等 “Intellectual Property”的缩写，意即知识产权，基于智 IP,程序初筛，重点公司产品另行人工复核
002558,巨人网络,核心,月圆之夜,2,11,10 ===== 第 11 页 ===== 巨人网络集团股份有限公司2026 年半年度报告全文 3. 《球球大作战》《月圆之夜》深化内容生态，《名将杀》精细化打磨初见成效 公司成熟产品《球球大作战》进入以经营提质和核心用户深耕为重点的运营阶段，有序推进产品体验更新与内容运营 协同。该产品的活跃玩家留存率及付费渗透率较第一季度均实现改善，运营效率持续向好，展现出成熟IP 良好的运营韧性。 策略卡牌游戏《月圆之夜》继续优化内容创新与IP 生态建设。报告期内，产品上线了新单,程序初筛，重点公司产品另行人工复核
002558,巨人网络,核心,王者征途,2,9,提供重要支撑，“征途”系列、《球球大作战》等成熟产品依托精细化长线运营保持稳定收入。同时， 公司有序推进人工智能技术研发与应用落地，提升研发生产效率。公司具体经营情况如下： 1. 征途全系产品深耕长线运营，品牌生命力持续焕发 报告期内，赛道聚焦《原始征途》《王者征途》等核心产品，战略重心从“以收入增长为核心”转向“收入与留存并 重”，通过两周一小更、一月一大更的内容供给框架实现用户留存提升。旗舰产品《原始征途》进入公测第三年，已顺利过 渡至平稳运营期，团队加快长青内容更新节奏，上半年新增用户同比增长3.67%，日均DAU 与上年同期基本持平，核心用 户基本盘扎实。《王者征途》依托微信、抖音、快手等多平台小程序渠道全,程序初筛，重点公司产品另行人工复核
002558,巨人网络,核心,Tomb Busters,1,10,"405 亿次；快手粉丝492 万，相关话题播放量超过1,258 亿 次；小红书粉丝259 万，相关话题浏览量超105 亿，讨论量超8,971 万，用户自传播生态保持繁荣。同时，产品常态化落地 非遗文旅跨界联动、头部代言人运营，拓宽品牌受众边界。 海外发行方面，产品海外版《Tomb Busters》于2026 年5 月27 日正式登陆日本、韩国、美国市场，同步覆盖iOS、安 卓、PC多端，上线首日跻身日本iOS游戏免费榜第3、韩国第7名，全球化实现良好开局。产品已与知名游戏运营商Garena 达成战略合作，计划于2027 年第一季度登陆东南亚、拉美市场，届时有望在海外市场拓展增长空间。",程序初筛，重点公司产品另行人工复核
002558,巨人网络,核心,废柴狐阿桔,1,11,卡牌游戏《月圆之夜》继续优化内容创新与IP 生态建设。报告期内，产品上线了新单机模式《秘宝对决》以及新 联机模式1V1 对战，拓展单机剧情卡牌与多人竞技场景。团队正积极筹备全新的单机经典模式新职业的制作与开发，计划 下半年正式上线。同时，产品开展跨界IP 合作，与《魂器学院》《废柴狐阿桔》等知名IP 联动，丰富游戏内容与用户体验， 扩大产品及IP 的市场影响力。 在研卡牌游戏《名将杀》以新玩法为抓手不断精细化打磨品质。“多人身份局”以月度更新节奏上线，获得玩家积极反 馈；PVE 玩法“千里单骑·无尽模式”上线后参与率与参与频次持续提升，产品已初步形成兼顾竞技与PVE 用户的内容体 系。自第二季度以来，该产品累计注册用户突破100,程序初筛，重点公司产品另行人工复核
002558,巨人网络,核心,征途2,1,5,子竞技列为第99 个正式体育竞赛项目 公司自主研发的以“征途”命名的多款网络游戏，包括 “征途”系列 指 《征途》、《绿色征途》、《征途怀旧版》及《征途2》 等 “Intellectual Property”的缩写，意即知识产权，基于智 IP 指,程序初筛，重点公司产品另行人工复核
002558,巨人网络,核心,征途怀旧版,1,5,子竞技列为第99 个正式体育竞赛项目 公司自主研发的以“征途”命名的多款网络游戏，包括 “征途”系列 指 《征途》、《绿色征途》、《征途怀旧版》及《征途2》 等 “Intellectual Property”的缩写，意即知识产权，基于智 IP 指,程序初筛，重点公司产品另行人工复核
002558,巨人网络,核心,秘宝对决,1,11,营提质和核心用户深耕为重点的运营阶段，有序推进产品体验更新与内容运营 协同。该产品的活跃玩家留存率及付费渗透率较第一季度均实现改善，运营效率持续向好，展现出成熟IP 良好的运营韧性。 策略卡牌游戏《月圆之夜》继续优化内容创新与IP 生态建设。报告期内，产品上线了新单机模式《秘宝对决》以及新 联机模式1V1 对战，拓展单机剧情卡牌与多人竞技场景。团队正积极筹备全新的单机经典模式新职业的制作与开发，计划 下半年正式上线。同时，产品开展跨界IP 合作，与《魂器学院》《废柴狐阿桔》等知名IP 联动，丰富游戏内容与用户体验， 扩大产品及IP 的市场影响力。 在研卡牌游戏《名将杀》以新玩法为抓手不断精细化打磨品质。“多人身份局”以月度,程序初筛，重点公司产品另行人工复核
002558,巨人网络,核心,绿色征途,1,5,子竞技列为第99 个正式体育竞赛项目 公司自主研发的以“征途”命名的多款网络游戏，包括 “征途”系列 指 《征途》、《绿色征途》、《征途怀旧版》及《征途2》 等 “Intellectual Property”的缩写，意即知识产权，基于智 IP,程序初筛，重点公司产品另行人工复核
002558,巨人网络,核心,鬼吹灯,1,10,年4 月30 日正式上线，首发即登顶华为应用市场下载榜，同时包揽华为游戏中心 人气榜、热门榜、预约榜三项榜单首位，在鸿蒙生态渠道取得亮眼表现。 长线内容与商业化运营层面，项目团队不断完善产品玩法矩阵与IP 生态。为迎接2026 年暑期档，《超自然行动组》携 手国民级IP《鬼吹灯》推出联动地图“云南虫谷”，将原著经典探险场景与“摸金”核心玩法深度融合，版本内容在各大社区 及平台收获广泛热度，联动限定皮肤亦有力拉动了商业化表现，助力游戏重返iOS 畅销榜TOP5。同期上线原创微恐玩法 “无限梦境”，凭借独特体验吸引玩家踊跃参与并自发传播，逐步完善微恐玩法矩阵，巩固了产品在“中式微恐”这一垂直 品类中的领先地位。8 月全新商业化皮肤,程序初筛，重点公司产品另行人工复核
002558,巨人网络,核心,魂器学院,1,11,策略卡牌游戏《月圆之夜》继续优化内容创新与IP 生态建设。报告期内，产品上线了新单机模式《秘宝对决》以及新 联机模式1V1 对战，拓展单机剧情卡牌与多人竞技场景。团队正积极筹备全新的单机经典模式新职业的制作与开发，计划 下半年正式上线。同时，产品开展跨界IP 合作，与《魂器学院》《废柴狐阿桔》等知名IP 联动，丰富游戏内容与用户体验， 扩大产品及IP 的市场影响力。 在研卡牌游戏《名将杀》以新玩法为抓手不断精细化打磨品质。“多人身份局”以月度更新节奏上线，获得玩家积极反 馈；PVE 玩法“千里单骑·无尽模式”上线后参与率与参与频次持续提升，产品已初步形成兼顾竞技与PVE 用户的内容体 系。自第二季度以来，该产品累计注册,程序初筛，重点公司产品另行人工复核
002174,游族网络,核心,Infinity Kingdom,7,10,出以“少年” 系列IP 为代表的经典自研卡牌手游《少年三国志》《少年三国志2》《少年三国志：零》《少年西游记》《少年西游记 2》，同时深耕SLG 赛道，打造了《Game of Thrones Winter is Coming》PC（《权力的游戏凛冬将至》PC 版）、 《Infinity Kingdom》（《战火与永恒》）、《三十六计》等长周期产品。报告期内，公司进一步拓展小游戏和海外 SLG 矩阵，上线了《大皇帝H5》和《Zomline Survival》，持续丰富产品布局。在游戏主业之外，公司积极推动人工智 能在游戏研运全链路的应用，以AI 驱动组织变革和效率提升；同步延伸AI 产业链的投资布局；以多元投资构建长期增 长生态。 （,程序初筛，重点公司产品另行人工复核
002174,游族网络,核心,少年三国志,6,10,游族网络股份有限公司2026 年半年度报告全文 第三节管理层讨论与分析 一、报告期内公司从事的主要业务 游族网络是一家专注于网络游戏研发、发行及运营的全球化研运一体的互动娱乐科技公司。公司成功推出以“少年” 系列IP 为代表的经典自研卡牌手游《少年三国志》《少年三国志2》《少年三国志：零》《少年西游记》《少年西游记 2》，同时深耕SLG 赛道，打造了《Game of Thrones Winter is Coming》PC（《权力的游戏凛冬将至》PC 版）、 《Infinity Kingdom》（《战火与永恒》）、《三十六计》等长周期产品。报告期内，公司进一步拓展小游戏和海外 SLG 矩阵，上线了《,程序初筛，重点公司产品另行人工复核
002174,游族网络,核心,少年西游记,6,10,第三节管理层讨论与分析 一、报告期内公司从事的主要业务 游族网络是一家专注于网络游戏研发、发行及运营的全球化研运一体的互动娱乐科技公司。公司成功推出以“少年” 系列IP 为代表的经典自研卡牌手游《少年三国志》《少年三国志2》《少年三国志：零》《少年西游记》《少年西游记 2》，同时深耕SLG 赛道，打造了《Game of Thrones Winter is Coming》PC（《权力的游戏凛冬将至》PC 版）、 《Infinity Kingdom》（《战火与永恒》）、《三十六计》等长周期产品。报告期内，公司进一步拓展小游戏和海外 SLG 矩阵，上线了《大皇帝H5》和《Zomline Survival,程序初筛，重点公司产品另行人工复核
002174,游族网络,核心,绯色回响,6,13,自研 策略卡牌 2020 年11 月 《Infinity Kingdom》 自研 SLG 2021 年1 月 《绯色回响》 自研 数值卡牌 2022 年10 月 《Zomline Survival》 代理 SLG 2026 年6 月 重点已上线产品介绍如下： 《少年三国志》 《少年三国志》是一款公司自研卡,程序初筛，重点公司产品另行人工复核
